id,post_id,ticker_id,sentiment,analyzed_at
14941,32760,3710,1,2026-05-05 01:52:31.996677+00:00
14942,32760,3367,1,2026-05-05 01:52:31.996677+00:00
14943,32761,3367,0,2026-05-05 01:52:31.996677+00:00
14944,32762,3367,0,2026-05-05 01:52:31.996677+00:00
14945,32764,3367,0,2026-05-05 01:52:31.996677+00:00
14946,32768,5713,0,2026-05-05 01:52:31.996677+00:00
14947,32770,3710,-1,2026-05-05 01:52:31.996677+00:00
14948,32771,3367,0,2026-05-05 01:52:31.996677+00:00
14949,32773,5593,0,2026-05-05 01:52:31.996677+00:00
14950,32777,3710,0,2026-05-05 01:52:31.996677+00:00
14951,32777,3367,0,2026-05-05 01:52:31.996677+00:00
14952,32778,3710,0,2026-05-05 01:52:31.996677+00:00
14953,32778,3367,0,2026-05-05 01:52:31.996677+00:00
14954,32779,5643,0,2026-05-05 01:52:31.996677+00:00
14955,32785,3710,1,2026-05-05 01:52:31.996677+00:00
14956,32789,3710,-1,2026-05-05 01:52:31.996677+00:00
14957,32790,3367,0,2026-05-05 01:52:31.996677+00:00
14958,32790,3710,0,2026-05-05 01:52:31.996677+00:00
14959,32794,3710,1,2026-05-05 01:52:31.996677+00:00
14960,32795,5715,0,2026-05-05 01:52:31.996677+00:00
14961,32797,5717,-1,2026-05-05 01:52:31.996677+00:00
14962,32800,3367,-1,2026-05-05 01:52:31.996677+00:00
14963,32807,3710,0,2026-05-05 01:52:31.996677+00:00
14964,32820,3367,0,2026-05-05 01:52:31.996677+00:00
14965,32827,5717,0,2026-05-05 01:52:31.996677+00:00
14966,32831,5593,0,2026-05-05 01:52:31.996677+00:00
14967,32839,5717,1,2026-05-05 01:52:31.996677+00:00
14968,32841,3710,0,2026-05-05 01:52:31.996677+00:00
14969,32841,3367,0,2026-05-05 01:52:31.996677+00:00
14970,32841,5607,0,2026-05-05 01:52:31.996677+00:00
14971,32841,5719,0,2026-05-05 01:52:31.996677+00:00
14972,32844,5596,1,2026-05-05 01:52:31.996677+00:00
